date,mobility
2022-01-01,-46.703672316384186
2022-01-02,-19.888584474885842
2022-01-03,-23.275000000000002
2022-01-04,-16.316306954436453
2022-01-05,-14.294304556354916
2022-01-06,-15.164868105515586
2022-01-07,-16.758784596871244
2022-01-08,-14.583260869565216
2022-01-09,-19.21330275229358
2022-01-10,-12.695983213429258
2022-01-11,-14.979856115107916
2022-01-12,-12.982254196642685
2022-01-13,-10.901199040767388
2022-01-14,-12.420336943441637
2022-01-15,-16.53625730994152
2022-01-16,-17.56088280060883
2022-01-17,-17.685011990407673
2022-01-18,-11.31720623501199
2022-01-19,-11.436990407673862
2022-01-20,-7.599340527577938
2022-01-21,-10.731227436823106
2022-01-22,-10.037555555555555
2022-01-23,-10.564728682170545
2022-01-24,-10.04484412470024
2022-01-25,-8.634772182254197
2022-01-26,-9.755815347721823
2022-01-27,-7.014148681055156
2022-01-28,-7.306618531889289
2022-01-29,-12.846000000000002
2022-01-30,-10.420542635658913
2022-01-31,-7.500539568345324
2022-02-01,-7.55661853188929
2022-02-02,-7.530035971223023
2022-02-03,-7.797901678657074
2022-02-04,-13.773044524669075
2022-02-05,-7.567404129793509
2022-02-06,-5.556404320987655
2022-02-07,-5.35222623345367
2022-02-08,-7.280755395683454
2022-02-09,-5.501139088729016
2022-02-10,-4.322541966426859
2022-02-11,-5.743922984356198
2022-02-12,-2.920570570570571
2022-02-13,-3.4264341085271317
2022-02-14,-5.187230215827338
2022-02-15,-6.58273381294964
2022-02-16,-5.091906474820145
2022-02-17,-6.599880095923261
2022-02-18,-12.304572803850782
2022-02-19,-7.117111111111111
2022-02-20,-3.641705069124424
2022-02-21,-20.80515587529976
2022-02-22,-6.782793764988009
2022-02-23,-8.261870503597123
2022-02-24,-3.2305155875299763
2022-02-25,-7.999338146811071
2022-02-26,-2.1625185185185187
2022-02-27,-5.086619718309859
2022-02-28,-5.994904076738609
2022-03-01,-5.444424460431655
2022-03-02,-5.610851318944844
2022-03-03,-5.252937649880096
2022-03-04,-6.638447653429602
2022-03-05,-1.4248148148148148
2022-03-06,-7.316043613707166
2022-03-07,-6.823920863309352
2022-03-08,-6.358453237410072
2022-03-09,-4.242925659472422
2022-03-10,-2.526318944844125
2022-03-11,-5.1086352657004825
2022-03-12,-8.796636771300447
2022-03-13,-5.7227699530516425
2022-03-14,-4.517266187050359
2022-03-15,-3.1852657004830918
2022-03-16,-2.270623501199041
2022-03-17,-0.5957434052757794
2022-03-18,-2.0337560386473426
2022-03-19,-3.5437499999999997
